Threshold,Accuracy,Balanced_Accuracy,Sensitivity,Specificity,Precision,F1,Youden_J,TN,FP,FN,TP
0.1,0.24356223175965666,0.5,1.0,0.0,0.24356223175965666,0.3917169974115617,0.0,0,705,0,227
0.11,0.24356223175965666,0.5,1.0,0.0,0.24356223175965666,0.3917169974115617,0.0,0,705,0,227
0.12,0.24356223175965666,0.5,1.0,0.0,0.24356223175965666,0.3917169974115617,0.0,0,705,0,227
0.13,0.24356223175965666,0.5,1.0,0.0,0.24356223175965666,0.3917169974115617,0.0,0,705,0,227
0.13999999999999999,0.24356223175965666,0.5,1.0,0.0,0.24356223175965666,0.3917169974115617,0.0,0,705,0,227
0.14999999999999997,0.24356223175965666,0.5,1.0,0.0,0.24356223175965666,0.3917169974115617,0.0,0,705,0,227
0.15999999999999998,0.24356223175965666,0.5,1.0,0.0,0.24356223175965666,0.3917169974115617,0.0,0,705,0,227
0.16999999999999998,0.24356223175965666,0.5,1.0,0.0,0.24356223175965666,0.3917169974115617,0.0,0,705,0,227
0.17999999999999997,0.24356223175965666,0.5,1.0,0.0,0.24356223175965666,0.3917169974115617,0.0,0,705,0,227
0.18999999999999995,0.24356223175965666,0.5,1.0,0.0,0.24356223175965666,0.3917169974115617,0.0,0,705,0,227
0.19999999999999996,0.24356223175965666,0.5,1.0,0.0,0.24356223175965666,0.3917169974115617,0.0,0,705,0,227
0.20999999999999996,0.24570815450643776,0.5014184397163121,1.0,0.0028368794326241137,0.24408602150537634,0.3923941227312014,0.0028368794326241176,2,703,0,227
0.21999999999999995,0.24678111587982832,0.502127659574468,1.0,0.00425531914893617,0.24434876210979548,0.39273356401384085,0.004255319148936065,3,702,0,227
0.22999999999999995,0.2478540772532189,0.5028368794326241,1.0,0.005673758865248227,0.24461206896551724,0.3930735930735931,0.005673758865248235,4,701,0,227
0.23999999999999994,0.2510729613733906,0.5049645390070922,1.0,0.009929078014184398,0.2454054054054054,0.3940972222222222,0.0099290780141843,7,698,0,227
0.24999999999999992,0.2510729613733906,0.503471115693442,0.9955947136563876,0.011347517730496455,0.24485373781148428,0.39304347826086955,0.006942231386884101,8,697,1,226
0.2599999999999999,0.2575107296137339,0.5077264348423782,0.9955947136563876,0.019858156028368795,0.24645583424209377,0.3951048951048951,0.015452869684756454,14,691,1,226
0.2699999999999999,0.26502145922746784,0.5126909738494704,0.9955947136563876,0.029787234042553193,0.24835164835164836,0.3975373790677221,0.025381947698940754,21,684,1,226
0.2799999999999999,0.27145922746781115,0.5139594463711064,0.986784140969163,0.04113475177304964,0.24888888888888888,0.39751552795031053,0.02791889274221271,29,676,3,224
0.2899999999999999,0.27682403433476394,0.513025275720936,0.973568281938326,0.0524822695035461,0.24859392575928008,0.3960573476702509,0.026050551441872072,37,668,6,221
0.29999999999999993,0.2875536480686695,0.5141437810478957,0.9559471365638766,0.07234042553191489,0.24913892078071181,0.39526411657559196,0.02828756209579142,51,654,10,217
0.30999999999999994,0.30364806866952787,0.523288655606586,0.9515418502202643,0.0950354609929078,0.2529274004683841,0.3996299722479186,0.04657731121317199,67,638,11,216
0.3199999999999999,0.3272532188841202,0.5344112225450682,0.9383259911894273,0.13049645390070921,0.25786924939467315,0.4045584045584046,0.06882244509013646,92,613,14,213
0.32999999999999985,0.35085836909871243,0.5485206361108508,0.933920704845815,0.16312056737588654,0.26433915211970077,0.41205053449951407,0.09704127222170156,115,590,15,212
0.33999999999999986,0.36909871244635195,0.5546036804449027,0.9162995594713657,0.19290780141843972,0.2676962676962677,0.41434262948207173,0.10920736088980543,136,569,19,208
0.34999999999999987,0.3948497854077253,0.5701315337269972,0.9118942731277533,0.22836879432624113,0.2756324900133156,0.4233128834355828,0.14026306745399442,161,544,20,207
0.3599999999999999,0.4334763948497854,0.592676601993314,0.9030837004405287,0.2822695035460993,0.2883263009845288,0.43710021321961623,0.1853532039866279,199,506,22,205
0.3699999999999999,0.47103004291845496,0.6100321804605242,0.8810572687224669,0.33900709219858155,0.3003003003003003,0.4479283314669653,0.22006436092104842,239,466,27,200
0.3799999999999999,0.5032188841201717,0.6268285062642547,0.8678414096916299,0.38581560283687943,0.3126984126984127,0.4597432905484247,0.25365701252850936,272,433,30,197
0.3899999999999999,0.528969957081545,0.6319023963507983,0.8325991189427313,0.43120567375886526,0.32033898305084746,0.46266829865361075,0.2638047927015965,304,401,38,189
0.3999999999999998,0.572961373390558,0.6550067172805949,0.8149779735682819,0.4950354609929078,0.3419593345656192,0.4817708333333333,0.3100134345611898,349,356,42,185
0.4099999999999998,0.5933476394849786,0.6610147780173087,0.7929515418502202,0.5290780141843971,0.3515625,0.4871447902571042,0.32202955603461736,373,332,47,180
0.4199999999999998,0.6115879828326181,0.6611241290967601,0.7577092511013216,0.5645390070921986,0.35908141962421714,0.48725212464589235,0.3222482581935202,398,307,55,172
