Model,Baseline_ROC_AUC,Extended_ROC_AUC,ROC_AUC_Change,Baseline_PR_AUC,Extended_PR_AUC,PR_AUC_Change
Logistic Regression,0.6838254131908645,0.6861873965070141,0.002361983316149563,0.433147954963339,0.43547253318656176,0.0023245782232227397
Random Forest,0.7068016371418752,0.7092323554222513,0.0024307182803761096,0.4553449650341409,0.4604987111486445,0.005153746114503588
XGBoost,0.7109382322616928,0.710694535570344,-0.000243696691348827,0.4476902923030003,0.44942143665726236,0.001731144354262082
