Metric,Baseline,Extended,Absolute_Difference
ROC_AUC,0.6838254131908645,0.6861873965070141,0.002361983316149563
PR_AUC,0.433147954963339,0.43547253318656176,0.0023245782232227397
Accuracy,0.7618025751072961,0.7628755364806867,0.0010729613733906351
Balanced_Accuracy,0.5319211422501328,0.534123785421939,0.0022026431718061845
Sensitivity_Recall,0.08370044052863436,0.0881057268722467,0.004405286343612341
Specificity,0.9801418439716312,0.9801418439716312,0.0
Precision,0.5757575757575758,0.5882352941176471,0.012477718360071277
F1,0.14615384615384616,0.1532567049808429,0.0071028588269967385
