Metric,Observed_Difference,Bootstrap_95CI_Lower,Bootstrap_95CI_Upper,Bootstrap_Iterations_Used
ROC_AUC_Difference,0.002361983316149563,-0.005473895591870415,0.009366012514868655,2000
PR_AUC_Difference,0.0023245782232227397,-0.005991193895777667,0.010692074156411187,2000
