Model,Specification,PHQ9_Included,CV_ROC_AUC,Test_ROC_AUC,Test_PR_AUC,Accuracy,Balanced_Accuracy,Sensitivity_Recall,Specificity,Precision,F1
XGBoost,Baseline,No,0.6676722625058036,0.7109382322616928,0.4476902923030003,0.7027896995708155,0.6571906145530665,0.5682819383259912,0.7460992907801418,0.41883116883116883,0.4822429906542056
XGBoost,Extended (+PHQ-9),Yes,0.6653885519670484,0.710694535570344,0.44942143665726236,0.7017167381974249,0.6579748180085606,0.5726872246696035,0.7432624113475177,0.4180064308681672,0.483271375464684
Random Forest,Extended (+PHQ-9),Yes,0.6676578677833312,0.7092323554222513,0.4604987111486445,0.7703862660944206,0.5809041772112351,0.21145374449339208,0.950354609929078,0.5783132530120482,0.3096774193548387
Random Forest,Baseline,No,0.6662433476707105,0.7068016371418752,0.4553449650341409,0.7628755364806867,0.577433061517793,0.21585903083700442,0.9390070921985816,0.532608695652174,0.3072100313479624
Logistic Regression,Extended (+PHQ-9),Yes,0.6463362892335918,0.6861873965070141,0.43547253318656176,0.7628755364806867,0.534123785421939,0.0881057268722467,0.9801418439716312,0.5882352941176471,0.1532567049808429
Logistic Regression,Baseline,No,0.6446872920488943,0.6838254131908645,0.433147954963339,0.7618025751072961,0.5319211422501328,0.08370044052863436,0.9801418439716312,0.5757575757575758,0.14615384615384616
